Area,Date,Revision,Location,NMC,Description,Format,Type,Sheets,Notes
Oakville,1967,,MDL B2,,COLOUR,paper,plans,"1-6, 9-12, 15-46, 50-86",incomplete set
Oakville,1967,,MDL B2,,BW,paper,index,,streets and blocks
Oakwood,1910,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Odessa,1893,,MDL G 3401 G475 1878-,9593,BW,microfiche,,,
Odessa,1893,,MDL B2,,COLOUR,paper,plans (large),1-2,complete set
Oil City,1896,,MDL G 3401 G475 1878-,9594,BW,microfiche,,,
Oil Springs,1894,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Oil Springs,1894,1906,MDL G 3401 G475 1878-,13965,BW,microfiche,,,
Olds,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,12,
Olds,1960,,MDL B2,,COLOUR,paper,plans,1-9,
Oliver,1952,1953,Fisher Rare Book Library,,COLOUR,paper,plans,6,
Oliver,1952,,MDL B2,,COLOUR,paper,plans,1-5,complete set
Omemee,1881,,MDL G 3401 G475 1878-,9596,BW,microfiche,,,
Omemee,1881,1904,MDL G 3401 G475 1878-,9597,BW,microfiche,,,
Orangeville,1907,1935,Fisher Rare Book Library,,COLOUR,paper,plans,14,
Orangeville,1907,1935,MDL B2,,COLOUR,paper,plans (large),"1, 2",incomplete set
Orangeville,1907,1914,MDL G 3401 G475 1878-,9599,BW,microfiche,,,
Orangeville,1907,1924,MDL G 3401 G475 1878-,9600,BW,microfiche,,,
Orangeville,1924,,MDL B2,,COLOUR,paper,slips,Trans. 1-5,
Orangeville,1924,,MDL G 3401 G475 1878-,98385,BW,microfiche,,,
Orillia,1928,1941,Fisher Rare Book Library,,COLOUR,paper,plans,19,
Orillia,1928,1941,MDL B2,,COLOUR,paper,plans (large),1-18,complete set
Ormstown,1949,,Fisher Rare Book Library,,COLOUR,paper,plans,6,
Ormstown,1949,,MDL B2,,COLOUR,paper,slips,"Trans. 5, 6",
Orocmocto,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,13,
Oromocto,1960,,MDL B2,,COLOUR,paper,plans,1-10,complete set
Oshawa,1921,,MDL G 3401 G475 1878-,9603,BW,microfiche,,,
Oshawa,1921,,MDL G 3401 G475 1878-,31782,BW,microfiche,,,
Oshawa,1948,,MDL G 3401 G475 1878-,9604,BW,microfiche,,,
Oshawa,1966,,Fisher Rare Book Library,,COLOUR,paper,plans,89,
Oshawa,1966,,MDL B2,,COLOUR,paper,plans,"1-64, 75-97",
Osnabruck Centre,1896,,MDL G 3401 G475 1878-,9605,BW,microfiche,,,
Osoyoos,1952,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Ottawa,1875,,MDL G 3401 G475 1878-,32988,BW,microfiche,,,
Ottawa,1878,,MDL G 3401 G475 1878-,10731,COLOUR,microfiche,,,
Ottawa,1880,,MDL G 3401 G475 1878-,10628,BW,microfiche,,,
Ottawa,1885,,MDL G 3401 G475 1878-,13966,COLOUR,microfiche,,,
Ottawa,1888,,MDL G 3401 G475 1878-,33000,COLOUR,microfiche,,,
Ottawa,1888,,MDL G 3401 G475 1878-,32998,COLOUR,microfiche,,,
Ottawa,1892,,MDL G 3401 G475 1878-,18164,BW,microfiche,,,
Ottawa,1892,[1898],MDL G 3401 G475 1878-,10627,BW,microfiche,,,
Ottawa,1895,,MDL G 3401 G475 1878-,33001,COLOUR,microfiche,,,
Ottawa,1895,1898,MDL G 3401 G475 1878-,33002,COLOUR,microfiche,,,
Ottawa,1896,,MDL G 3401 G475 1878-,10760,BW,microfiche,,,
Ottawa,1901,,MDL G 3401 G475 1878-,33003,COLOUR,microfiche,,,
Ottawa,1912,,MDL G 3401 G475 1878-,33004,COLOUR,microfiche,,,
Ottawa,1912,,MDL G 3401 G475 1878-,9882,COLOUR,microfiche,,,
Ottawa,1912,,MDL G 3401 G475 1878-,9883,COLOUR,microfiche,,,
Ottawa,1912,1922,MDL G 3401 G475 1878-,33005,COLOUR,microfiche,,,
Ottawa,1915,,MDL G 3401 G475 1878-,9606,COLOUR,microfiche,,,
Ottawa,1922,,MDL G 3401 G475 1878-,10837,COLOUR,microfiche,,,
Ottawa,1922,,MDL G 3401 G475 1878-,10838,COLOUR,microfiche,,,
Ottawa,1925,,MDL G 3401 G475 1878-,33006,BW,microfiche,,,
Ottawa,1926,1938,MDL G 3401 G475 1878-,10744,BW,microfiche,,,
Ottawa,1926,1938,MDL B2,,COLOUR,paper,plans (large),"312, 325, 326, 328, 336",incomplete set
Ottawa,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,133,Vol.2 2 parts
Ottawa,1956,1965,Fisher Rare Book Library,,COLOUR,paper,plans,71,Vol.3
Ottawa,1956,1963,MDL B2,,COLOUR,paper,plans,101-146,Vol. 1 (incomplete)
Ottawa,1956,,MDL B2,,COLOUR,paper,plans,"201-211, 214-235, 237-269",Vol. 2 (incomplete)
Ottawa,1956,1965,MDL B2,,COLOUR,paper,plans,"300, 303-324, 327-342, 345-346",Vol. 3 (incomplete)
Ottawa,1957,1965,Fisher Rare Book Library,,COLOUR,paper,plans,44,Vol.4
Ottawa,1957,1963,Fisher Rare Book Library,,COLOUR,paper,plans,44,Vol.6
Ottawa,1957,1965,MDL B2,,COLOUR,paper,plans,400-442,Vol. 4 (complete)
Ottawa,1957,1963,MDL B2,,COLOUR,paper,plans,500-517,Vol. 5 (complete)
Ottawa,1957,1963,MDL B2,,COLOUR,paper,plans,600-641,Vol. 6 (complete)
Ottawa,1957,1965-,MDL G 3401 G475 1878-,104181,BW,microfiche,,,
Ottawa,1965,,MDL B2,,BW,paper,index,,streets and blocks
Ottawa,[1878],,MDL G 3401 G475 1878-,13968,COLOUR,microfiche,,,
Ottawa,[1878],,MDL G 3401 G475 1878-,13967,COLOUR,microfiche,,,
Ottawa & Vicinity,,,MDL G 3401 G475 1878-,104187,BW,microfiche,,,
Ottawa-hull,1900,,MDL G 3401 G475 1878-,51401,COLOUR,microfiche,,,
Otterville,1897,,MDL G 3401 G475 1878-,9607,COLOUR,microfiche,,,
Otterville,1897,1904,MDL G 3401 G475 1878-,13969,COLOUR,microfiche,,,
Owen Sound,1901,,MDL G 3401 G475 1878-,9608,COLOUR,microfiche,,,
Owen Sound,1921,1931,MDL B2,,COLOUR,paper,plans (large),11,
Owen Sound,1923,1946,Fisher Rare Book Library,,COLOUR,paper,plans,25,24 sh.
Owen Sound,1923,,MDL B2,,COLOUR,paper,plans (large),21,incomplete set. Printed on back of Harbour Grace plan (large)
Owen Sound,1923,1946,MDL B2,,COLOUR,paper,plans (large),"2, 4-6, 9, 12, 16, 18-20","incomplete set. Toronto, Montreal, Ottawa slips printed on backs."
Owen Sound,1946,,MDL B2,,COLOUR,paper,slips,Trans. 1-10,
Oxford,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,12,
Oxford,1962,,MDL B2,,COLOUR,paper,plans,1-10,complete set
Paisley,1904,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Pakenham,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Pakenham,1897,1902,MDL G 3401 G475 1878-,9614,COLOUR,microfiche,,,
Palmerston,1890,,MDL G 3401 G475 1878-,9616,COLOUR,microfiche,,,
Palmerston,1914,,MDL G 3401 G475 1878-,9617,COLOUR,microfiche,,,
Paris,1882,,MDL G 3401 G475 1878-,9618,COLOUR,microfiche,,,
Paris,1888,,MDL G 3401 G475 1878-,10765,BW,microfiche,,,
Paris,1913,,MDL G 3401 G475 1878-,9619,COLOUR,microfiche,,,
Paris,1913,1924,MDL G 3401 G475 1878-,9620,COLOUR,microfiche,,,
Paris,1924,,MDL B2,,COLOUR,paper,slips,Trans. 1-8,
Paris,1948,,MDL B2,,BW,paper,index,,streets
Parkhill,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Park Hill,1926,,MDL B2,,COLOUR,paper,index (large),,
Parrsboro,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,13,
Parrsboro,1962,,MDL B2,,COLOUR,paper,plans,1-7,complete set
Parry Sound,1949,,Fisher Rare Book Library,,COLOUR,paper,plans,20,
Parry Sound,1949,,MDL B2,,COLOUR,paper,plans (large),1-20,complete set
Pembroke,1908,[1911],MDL G 3401 G475 1878-,9623,COLOUR,microfiche,,,
Pembroke,1935,,MDL B2,,COLOUR,paper,slips,"Trans. 1-3, 5, 7",
Pembroke,1950,,MDL G 3401 G475 1878-,9624,COLOUR,microfiche,,,
Pembroke,1950,,MDL B2,,COLOUR,paper,plans (large),1-19,complete set
Penetanguishene,1912,,MDL G 3401 G475 1878-,9625,COLOUR,microfiche,,,
Penetanguishene,1946,,Fisher Rare Book Library,,COLOUR,paper,plans,13,
Penetanguishene,1946,,MDL B2,,COLOUR,paper,plans (large),2,incomplete set. Printed on back of sh. 2 Carbonear plan (large)
Penetanguishene,1946,,MDL B2,,COLOUR,paper,plans (large),"1-11, 13","incomplete set. Toronto, Montreal plans (large) + slips printed on backs."
Penobsquis,1938,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Penobsquis,1938,,MDL B2,,COLOUR,paper,plans (large),1,complete set (?)
Penticton,1952,1958,Fisher Rare Book Library,,COLOUR,paper,plans,26,
Penticton,1952,,MDL B2,,COLOUR,paper,plans,1-27 ,complete set
Perth,1952,,MDL B2,,COLOUR,paper,plans,1-16,complete set
Perth,1952,,MDL G 3401 G475 1878-,104185,BW,microfiche,,,
Peterborough,1929,1948,MDL G 3401 G475 1878-,9627,COLOUR,microfiche,,,
Peterborough,1948,,MDL B2,,COLOUR,paper,slips,Trans. 1-5,
Peterborough,1968,,Fisher Rare Book Library,,COLOUR,paper,plans,96,
Peterborough,1968,,MDL B2,,COLOUR,paper,plans,1-98,complete set
Petitcodiac,1921,1938,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Petrolia,1925,,Fisher Rare Book Library,,COLOUR,paper,plans,10,
Petrolia,1925,,MDL B2,,COLOUR,paper,plans (large),"1, 6",
Pickle Lake,1937,1941,MDL G 3401 G475 1878-,9659,BW,microfiche,,,
Picton,1924,,Fisher Rare Book Library,,COLOUR,paper,plans,13,
Picton,1924,,MDL B2,,COLOUR,paper,plans (large),1A-12,complete set
Picton,1963,,MDL B2,,BW,paper,index,,streets and blocks
Pictou,1952,1963,Fisher Rare Book Library,,COLOUR,paper,plans,13,
Pictou,1962,1963,MDL B2,,COLOUR,paper,plans,1-9,complete set
Pierreville,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
Pierreville,1955,,MDL B2,,COLOUR,paper,plans,1-5,complete set
Pierreville Mills,1894,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Pittsburgh,1853,,MDL G 3401 G475 1878-,22176,BW,microfiche,,,
Plantagenet,1897,,MDL B2,,COLOUR,paper,plans (large),2-9,incomplete set. All printed on 1 sheet.
Plaster Rock,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,12,
Plaster Rock,1957,,MDL B2,,COLOUR,paper,plans,1-10,complete set
Plattsville,1894,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Plessisville,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,19,
Plessisville,1953,,MDL B2,,COLOUR,paper,plans,1-16,complete set
Pointe Aux Trembles,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,47,
Pointe Claire,1969,,Fisher Rare Book Library,,COLOUR,paper,plans,61,
Pointe Claire,1969,,MDL B2,,COLOUR,paper,plans,1-56,complete set
Point Edward,1900,,MDL G 3401 G475 1878-,10567,BW,microfiche,,,
Pointe Gatineau,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,14,
Pointe Gatineau,1954,,MDL B2,,COLOUR,paper,plans,1-12,complete set
Ponoka,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,15,
Ponoka,1960,,MDL B2,,COLOUR,paper,plans,1-15,
Pont Rouge,1914,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Pontypool,1904,,MDL G 3401 G475 1878-,9664,COLOUR,microfiche,,,
Portage La Prairie,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,28,
Port Albernie,1957,,MDL B2,,COLOUR,paper,plans,odds,pg. 18 only
Port Alfred,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,23,
Port Alfred,1955,,MDL B2,,COLOUR,paper,plans,1-21,complete set
Port Arthur,1905,,MDL G 3401 G475 1878-,10548,BW,microfiche,,,
Port Arthur,1911,,MDL G 3401 G475 1878-,10539,BW,microfiche,,,
Port Arthur,1911,,MDL G 3401 G475 1878-,51402,BW,microfiche,,,
Port Arthur,1913,1925,MDL G 3401 G475 1878-,9665,COLOUR,microfiche,,,
Port Burwell,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Port Burwell,1896,1906,MDL G 3401 G475 1878-,9667,COLOUR,microfiche,,,
Port Colborne,1914,,MDL G 3401 G475 1878-,9628,COLOUR,microfiche,,,
Port Colborne,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,40,
Port Colborne,1953,,MDL B2,,COLOUR,paper,plans,1-36,complete set
Port Credit,1928,,Fisher Rare Book Library,,COLOUR,paper,plans,,See Toronto Vol. 19
Port Credit,1928,,MDL G 3401 G475 1878-,9629,COLOUR,microfiche,,,
Port Dalhousie,1909,1922,MDL G 3401 G475 1878-,9630,COLOUR,microfiche,,,
Port Dover,1928,1936,Fisher Rare Book Library,,COLOUR,paper,plans,6,
Port Dover,1962,,MDL B2,,BW,paper,index,,streets and blocks
Port Elgin,1928,,Fisher Rare Book Library,,COLOUR,paper,plans,5,
Port Elgin,1928,,MDL B2,,COLOUR,paper,plans (large),1-5,complete set
Port Elgin,1934,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Port Hastings,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Port Hastings,1926,,MDL B2,,COLOUR,paper,plans (large),1,complete set
Port Hawkesbury,1922,1941,Fisher Rare Book Library,,COLOUR,paper,plans,2,1 sh. 2 copies
Port Hawkesbury,1922,1941,MDL B2,,COLOUR,paper,plans (large),2,incomplete set
Port Hawkesbury,1972,,Fisher Rare Book Library,,COLOUR,paper,plans,15,
Port Hawkesbury,1972,,MDL B2,,COLOUR,paper,plans,1-13,complete set
Port Hood,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Port Hood,1926,,MDL B2,,COLOUR,paper,plans (large),1,complete set
Port Hope,1892,,MDL G 3401 G475 1878-,10755,BW,microfiche,,,
Port Hope,1900,,MDL G 3401 G475 1878-,10580,BW,microfiche,,,
Port Hope,1901,1904,MDL G 3401 G475 1878-,9793,BW,microfiche,,,
Port Hope,1901,1911,MDL G 3401 G475 1878-,9648,BW,microfiche,,,
Port Hope,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,31,
Port Hope,1955,,MDL B2,,COLOUR,paper,plans,1-28,complete set
Port La Joye,1733,,MDL G 3401 G475 1878-,902,BW,microfiche,,,
Port Lambton,1900,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Port Maitland,1941,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Port Perry,1923,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Port Perry,1923,,MDL B2,,COLOUR,paper,plans (large),1-4,complete set
Port Rowan,1894,,MDL G 3401 G475 1878-,9638,BW,microfiche,,,
Port Stanley,1925,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Port Williams,1934,1944,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Powasson,1908,,Fisher Rare Book Library,,COLOUR,paper,plans,3,can?t read
Powell River,1961,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
Powell River,1961,,MDL B2,,COLOUR,paper,plans,"1,5-13",
Prescott,1963,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
Prescott,1963,,MDL B2,,COLOUR,paper,plans,1-14,complete set
Preston,1884,,MDL G 3401 G475 1878-,9641,BW,microfiche,,,
Preston,1910,1924,Fisher Rare Book Library,,COLOUR,paper,plans,16,
Preston,1910,1924,MDL B2,,COLOUR,paper,plans (large),"1, 10, 12, 13, 15, 16",incomplete set
Prince Albert,1958,1965,Fisher Rare Book Library,,COLOUR,paper,plans,37,
Prince George,1966,,Fisher Rare Book Library,,COLOUR,paper,plans,41,
Prince Rupert,1954,1959,Fisher Rare Book Library,,COLOUR,paper,plans,23,
Prince Rupert,1959,,MDL B2,,COLOUR,paper,plans,1-41,
Princeton,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,1-4,
Princeton,1954,,MDL B2,,COLOUR,paper,plans,1-5,
Princeville,1927,,MDL G 3401 G475 1878-,9183,BW,microfiche,,,
Princeville,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,17,
Princeville,1956,,MDL B2,,COLOUR,paper,plans,1-15,complete set
Pugwash,1941,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Pugwash,1941,,MDL B2,,COLOUR,paper,plans (large),1-3,complete set
Quebec,1900,,MDL G 3401 G475 1878-,10570,BW,microfiche,,,
Quebec,1951,,MDL G 3401 G475 1878-,79962,BW,microfiche,,,
Quebec City,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,199,Vol.1 2 Parts
Quebec City,1957,,MDL B2,,COLOUR,paper,plans,1-103,"Vol. 1, Pt. 1"
Quebec City,1957,,MDL B2,,COLOUR,paper,plans,104-170,"Vol. 1, Pt. 2"
Quebec City,1964,1968,Fisher Rare Book Library,,COLOUR,paper,plans,65,Vol.4 Quebec West & Charlesbourg
Quebec City,1964,,MDL B2,,COLOUR,paper,plans,400-473,Vol. 4
Queensborough,1904,,MDL G 3401 G475 1878-,9643,BW,microfiche,,,
Queenston,1819,,MDL G 3401 G475 1878-,4349,BW,microfiche,,,
Quesnel,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
Rainy River,1922,,MDL G 3401 G475 1878-,31790,BW,microfiche,,,
Rainy River,1950,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Rainy River,1950,,MDL B2,,COLOUR,paper,plans (large),1-4,complete set
Rat Portage,1897,1901,MDL G 3401 G475 1878-,9645,BW,microfiche,,,
Redcliff,1913,,MDL B2,,COLOUR,paper,slips,,
Redcliff,1915,,MDL B2,,COLOUR,paper,slips,,
Redcliff,1920,,MDL B2,,COLOUR,paper,slips,,
Red Deer,1955,1964,Fisher Rare Book Library,,COLOUR,paper,plans,28,
Regina,1907,1913,MDL G 3401 G475 1878-,10161,BW,microfiche,,,
Regina,1915,1919,MDL G 3401 G475 1878-,10162,BW,microfiche,,,
Regina,1923,,MDL G 3401 G475 1878-,10179,BW,microfiche,,,
Regina,1957,1963,Fisher Rare Book Library,,COLOUR,paper,plans,79,Vol.1
Regina,1957,1963,Fisher Rare Book Library,,COLOUR,paper,plans,19,Vol.2
Regina,1957,1963,Fisher Rare Book Library,,COLOUR,paper,plans,14,Vol.4
Regina,1957,1963,Fisher Rare Book Library,,COLOUR,paper,plans,16,Vol.5
Regina,1963,,Fisher Rare Book Library,,COLOUR,paper,plans,22,Vol.3
Renfrew,1908,1916,MDL G 3401 G475 1878-,9646,BW,microfiche,,,
Renfrew,1950,,Fisher Rare Book Library,,COLOUR,paper,plans,18,
Renfrew,1950,,MDL B2,,COLOUR,paper,plans (large),1-17,complete set. Includes index
Revelstoke,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,15,
Rexton,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,8,
Rexton,1957,,MDL B2,,COLOUR,paper,plans,1-6,complete set
Richard,1896,1908,MDL G 3401 G475 1878-,9650,BW,microfiche,,,
Richards Landing,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Richards Landing,1896,,MDL B2,,COLOUR,paper,plans (large),1,complete set
Richibucto,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,11,
Richibucto,1957,,MDL B2,,COLOUR,paper,plans,1-9,complete set
Richmond,1889,1902,MDL G 3401 G475 1878-,9652,BW,microfiche,,,
Richmond,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,38,
Richmond Hill,1910,,Map and Data Library,,BW,Digital; DVD-[238],plans,3,
Richmond Hill,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,26,
Richmond Hill,1960,,MDL B2,,COLOUR,paper,plans,1-21,complete set
Ridgetown,1906,1926,MDL B2,,COLOUR,paper,plans (large),"1, 5, 7",incomoplete set
Ridgetown,1926,,MDL B2,,COLOUR,paper,slips,Trans. 1-2,
Ridgeway,1905,1909,MDL G 3401 G475 1878-,9656,BW,microfiche,,,
Rimouski,1952,,MDL B2,,COLOUR,paper,slips,Trans. 1-4,
Rimouski,1968,,Fisher Rare Book Library,,COLOUR,paper,plans,47,
Rimouski,1968,,MDL B2,,COLOUR,paper,plans,1-42,complete set
Ripley,1894,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Ripley,1894,1904,MDL G 3401 G475 1878-,9670,BW,microfiche,,,
Riviere Du Loup,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,26,
Riviere Du Loup,1954,,MDL B2,,COLOUR,paper,plans,1-19,complete set
Roberval,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,18,
Roberval,1955,,MDL B2,,COLOUR,paper,plans,1-16,complete set
Rockland,1933,,MDL G 3401 G475 1878-,9671,BW,microfiche,,,
Rockland,1933,,MDL B2,,COLOUR,paper,plans (large),1,incomplepte set
Rockwood,1904,,MDL G 3401 G475 1878-,9672,BW,microfiche,,,
Rodney,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
