CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
084,Grand River Conservation Authority - Fall 2002,Request data from the Robarts 5th floor reference area or email mdl@library.utoronto.ca,,,"Restricted to U of T faculty, staff, and students.",Grand River Conservation Authority,,2002,BRANT; BRANTFORD,CONSERVATION AUTHORITY,,,,Grand River Conservation Authority,,Vector,,,,,,Grand River Conservation Authority,Citation,None,,2002
085,Grand River Conservation Authority - February 2002,Request data from the Robarts 5th floor reference area or email mdl@library.utoronto.ca,,,"Restricted to U of T faculty, staff, and students.",Grand River Conservation Authority,,2002,BRANT; BRANTFORD,CONSERVATION AUTHORITY,,,,Grand River Conservation Authority,,Vector,,,,,,Grand River Conservation Authority,Citation,None,,2002
086,Grand River Conservation Authority - January 2003,Request data from the Robarts 5th floor reference area or email mdl@library.utoronto.ca,,,"Restricted to U of T faculty, staff, and students.",Grand River Conservation Authority,,2003,BRANT; BRANTFORD,CONSERVATION AUTHORITY,,,,Grand River Conservation Authority,,Vector,,,,,,Grand River Conservation Authority,Citation,None,,2003
087,Grand River Conservation Authority - June 2003,Request data from the Robarts 5th floor reference area or email mdl@library.utoronto.ca,,,"Restricted to U of T faculty, staff, and students.",Grand River Conservation Authority,,2003,BRANT; BRANTFORD,CONSERVATION AUTHORITY,,,,Grand River Conservation Authority,,Vector,,,,,,Grand River Conservation Authority,Citation,None,,2003
088,Algonquin Park Forest Resource Inventory,"This Information Holding is used within the context of the following Great Lakes Heritage Coast subject area: Terrestrial Flora Part of Ontario's Living Legacy, The Great Lakes Heritage Coast Project is an open forum for citizens to help determine the best ways to... -Protect the Coast's scenic beauty and natural ecosystems; -Promote the potential for recreation, tourism, and other economic benefits through a network of parks and protected areas and bring the world to this magnificent part of Ontario; -Encourage development compatible with the overall intent for the area; and -Foster co-operation, education, public information and partnerships with other levels of government, Aboriginal communities, and interest groups in the planning and management of the Heritage Coast..",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Natural Resources (OMNR),,2001 Jan 1st,ALGONQUIN PARK; ONTARIO,FORESTRY,2001,,Ontario Ministry of Natural Resources (OMNR),OMNR,,Vector,,,,,,Ontario Ministry of Natural Resources (OMNR),Citation,None,,2001
089,Canadian Daily Climate Data: Temperature and Precipitation - Eastern Canada 2000,,,,,Environment Canada - Climate and Water Products Division,,,,,,,,,,,,,,,,,,,,
090,Canadian Daily Climate Data: Temperature and Precipitation - Western Canada 2000,,,,,Environment Canada - Climate and Water Products Division,,,,,,,,,,,,,,,,,,,,
091,Canadian Monthly Climate Data and 1961-1990 Normals,,,,,Environment Canada,,,,,,,,,,,,,,,,,,,,
092,Digital Ocean Electronic Charts - Kingston-Montreal,"navigational charts, bathymetry, bathymetric placenames, database, navigation software, marinas, database, chart index, tide tables, water levels",,,"Restricted to U of T faculty, staff, and students.",NDI Canadian Hydgrophic Service (CHS),,2000,ONTARIO,HYDROGRAPHY,,,,NDI CHS Maptech,,Vector,,NW7_002_03 - Kingston to Montreal,,,,Maptech BSB,None,None,,2000
093,Digital Ocean Electronic Charts - Lake Ontario,"navigational charts, bathymetry, bathymetric placenames, database, navigation software, marinas, database, chart index, tide tables, water levels",,,"Restricted to U of T faculty, staff, and students.",NDI Canadian Hydgrophic Service (CHS),,,ONTARIO,HYDROGRAPHY,,,,NDI CHS Maptech,,Vector,,NW5_002_03 - Lake Ontario,,,,Maptech BSB,None,None,,
094,Softmap Quebec topo250,,,,Publicly accessible,Softmap and Natural Resources Canada,,2002,QUEBEC,TOPOGRAPHY,,,,Softmap,,Vector,,,,,,Softmap,None,None,,2002
095,Significant Ecological Area Digital Data,"A Significant Ecological Area is a polygon feature that identifies an area of interest to the Ministry that is ecologically significant, and warrants special consideration, excluding ANSI's, wetlands, parks, reserves or ESA's.Different Significant Ecological Area types collected by the Natural Resources Values Information System (NRVIS) include...- Designated Old Growth Forest- No-Cut Area- Significant Valley- Significant Woodland- Wetland, Unevaluated",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Natural Resources,,2000,ONTARIO,ECOLOGY; FORESTRY; METADATA; PARKS; WETLANDS,,,,OMNR,,Vector,,,,Toronto,,,Citation,None,,2000
097,Europe Complete Global Maps,"Map data covering all of Europe.Contains administrative and postal geography of every European country, usually down to the most detailed levels (e.g. municipalities, counties, 5-digit postcode areas). Includes topographic layers displaying cities, roads, rivers and lakes.",,,"Restricted to U of T faculty, staff, and students.",GFK Macon Global Maps,,1997,ALBANIA; AUSTRIA; BELARUS; BELGIUM; BOSNIA AND HERZEGOVINA; BULGARIA; CROATIA; CYPRUS; CZECH REPUBLIC; DENMARK; ESTONIA; EUROPE; FAROE ISLANDS; FINLAND; FRANCE; GERMANY; GREECE; GREENLAND; HUNGARY; ICELAND; IRELAND; ITALY; LATVIA; LITHUANIA; LUXEMBOURG; MACEDONIA; MALTA; MOLDOVA; NETHERLANDS; NORWAY; POLAND; PORTUGAL; ROMANIA; SLOVAKIA; SLOVENIA; SWEDEN; TURKEY; UKRAINE; UNITED KINGDOM; YUGOSLAVIA,BOUNDARIES - POLITICAL; HIGHWAYS; MUNICIPALITIES; POSTAL GEOGRAPHY; ROADS,1997,,GFK Macon Global Maps,GFK Macon Global Maps,2002,Vector,,,https://geodata.gfk.com/,Germany,,GFK Macon,Citation,None,"1:100,000 and 1:1,000,000",1997 to 2002
098,ArcWorld,,,,,ESRI,,,,,,,,,,,,,,,,,,,,
099,General Bathymetric Chart of the Oceans (GEBCO),"The General Bathymetric Chart of the Oceans (GEBCO) aims to provide the most authoritative, publicly-available bathymetry data sets for the world's oceans.",With accompanying text,https://www.gebco.net/,"Restricted to U of T faculty, staff, and students.",British Oceanographic Data Centre,,1997,OCEANS,BATHYMETRY; OCEANOGRAPHY,1997,,British Oceanographic Data Centre,British Oceanographic Data Centre,,Vector,,,https://www.gebco.net/,"Birkenhead, Merseyside UK",,British Cartographic Data Centre,Citation,None,,1997
100,"Goad's Atlas 1884, 1890, 1899, 1910 (rect. by cart.)",,,,,"Goad, Charles E.",,,,,,,,,,,,,,,,,,,,
101,RADARSAT International Images of Toronto - 9901094008,,Disc 1 of 6,,"Restricted to U of T faculty, staff, and students.",RADARSAT International,,1999,TORONTO,SATELLITE IMAGES,,,,RADARSAT International,,Raster,,,,,,Radarsat International,Citation,None,,1999
102,RADARSAT International Images of Toronto - 9901094009,,Disc 2 of 6,,"Restricted to U of T faculty, staff, and students.",RADARSAT International,,1999,TORONTO,SATELLITE IMAGES,,,,RADARSAT International,,Raster,,,,,,Radarsat International,Citation,None,,1999
103,RADARSAT International Images of Toronto - 9901177002,,Disc 3 of 6,,"Restricted to U of T faculty, staff, and students.",RADARSAT International,,1999,TORONTO,SATELLITE IMAGES,,,,RADARSAT International,,Raster,,,,,,Radarsat International,Citation,None,,1999
104,RADARSAT International Images of Toronto - 9901177003,,Disc 4 of 6,,"Restricted to U of T faculty, staff, and students.",RADARSAT International,,1999,TORONTO,SATELLITE IMAGES,,,,RADARSAT International,,Raster,,,,,,Radarsat International,Citation,None,,1999
105,RADARSAT International Images of Toronto - 9901094007,,Disc 5 of 6,,"Restricted to U of T faculty, staff, and students.",RADARSAT International,,1999,TORONTO,SATELLITE IMAGES,,,,RADARSAT International,,Raster,,,,,,Radarsat International,Citation,None,,1999
106,RADARSAT International Images of Toronto - 9901177001,,Disc 6 of 6,,"Restricted to U of T faculty, staff, and students.",RADARSAT International,,1999,TORONTO,SATELLITE IMAGES,,,,RADARSAT International,,Raster,,,,,,Radarsat International,Citation,None,,1999
107,Noms et Lieux du Quebec,"Historical, geographic, economic and linguistic data for over 6000 place names in Quebec.

",,,"Restricted to U of T faculty, staff, and students.",Gouvernment du Quebec. Commission de Toponymie.,,1997,QUEBEC,ECONOMICS; GAZETTEERS; HISTORICAL,,,,Gouvernement du Quebec et Micro-Intel,,Vector,,1997,,,,,None,None,,1997
108,OMNI Gazetteer of the United States of America,"OMNI Gazetteer is a guide to nearly 1,500,000 populated places, locations and geographic features of the fifty states, Puerto Rico and U.S. Territories.",,,"Restricted to U of T faculty, staff, and students.",OMNI Graphics Inc.,,1992,UNITED STATES (INCLUSIVE),GAZETTEERS; GEOGRAPHICAL NAMES; PLACENAMES; POPULATION,,,,,,Data,,,,,,,Citation,None,,1992
109,Image of the World : An interactive exploration of ten historic world maps,"This CD-ROM disc was developed as part of The Earth and the Heavens: the art of the mapmaker, an exhibition held in the British Library galleries from 7 July to 22 October 1995.",,,Publicly accessible,"Karen Brookfield, The British Library",,2002,WORLD (ENTITY),,,,,,,Raster,,,,,,"Princeton, Films for the Humanities & Sciences",Citation,None,,
110,Satellite Image Gallery,"Most images on this CD-ROM are LANDSAT browse images, used to determine image quality and cloud cover. These images are subsampled at a ratio 16 to 1 and have an effective resolution of 480 meters (approximately 3/10 of a mile per pixel. JPEG image compression may degradesome images to less than the subsampled resolution. Full resolution images are 512X512 sections of Landsat scenes, with a ground resolution of 30 meters. A high quality JPEG image compression routine has been used on these images to minimize image quality degradation.",,,"Restricted to U of T faculty, staff, and students.",Intermountain Digital Mapping,,1997,WORLD (INCLUSIVE),SATELLITE IMAGES,,,,Intermountain Digital Mapping,,Raster,,,,,,Intermountain Digital Mapping,None,None,,1997
111,Geographica,Comprehensive general atlas of the World. Contains general data as well.,,,"Restricted to U of T faculty, staff, and students.",Random House Australia,,1999,WORLD (INCLUSIVE),BATHYMETRY; BOUNDARIES - POLITICAL; CLIMATE; CONTOURS; CULTURAL; DIGITAL ELEVATION MODEL; ECONOMICS; ELEVATION; GAZETTEERS; GEOGRAPHICAL NAMES; HISTORICAL; HYDROGRAPHY; HYDROLOGY; MAPS; OCEANOGRAPHY; PLACENAMES; POLITICAL; POPULATION; STATISTICS; THEMATIC MAPPING; WATER,,,,Random House Australia,,Raster; Vector,,,,,,,Citation,None,,1999
112,New Millenium World Atlas Deluxe,"Interactive world atlas, easy-to-use, offers detailed maps as well as geographic, historic and scientific themes, maps can be customized.",,,"Restricted to U of T faculty, staff, and students.",Rand McNally,,1998,WORLD (INCLUSIVE),BASE MAPS; BOUNDARIES; BOUNDARIES - POLITICAL; CONTOURS; CULTURAL; GAZETTEERS; GEOGRAPHICAL NAMES; HISTORICAL; MAPS; METADATA; PLACENAMES; ROADS; SERVICES; STATISTICS; STREETS; THEMATIC MAPPING; TOPOGRAPHY; VEGETATION; VOLCANOES; WATER,,,,Rand McNally,,Raster,,,,,,Rand McNally,Citation,None,,1998
113,Systeme d'information sur le territoire de la partie agricole du bassin versant de la riviere l'Assomption,,,,"Restricted to U of T faculty, staff, and students.","Ministere de L'Environnement de la Faune du Quebec, Service de la Cartographie Ecologique",,1999,QUEBEC,AGRICULTURE; BOUNDARIES; ENVIRONMENT; MAPS; METADATA; SATELLITE IMAGES; TOPOGRAPHY,1999,,"Ministere de L'Environnement de la Faune du Quebec, Service de la Cartographie Ecologique","Ministere de L'Environnement de la Faune du Quebec, Service de la Cartographie Ecologique",,Raster; Vector,,Janvier 1999,,,,,Citation,None,"1:20,000, 1:250,000",1999
114,Systeme d'information sur le territoire du bassin versant de la riviere Saint Charles,,,,"Restricted to U of T faculty, staff, and students.",Environnement et Faune Quebec,,1997,QUEBEC,ENVIRONMENT; HYDROGRAPHY; SATELLITE IMAGES; SOILS,1997,,Environnement et Faune Quebec,,,Raster; Vector,,,,,,,Citation,None,"1:5,000, 1:20,000, 1:50,000, 1:100,000",1997
115,GEONAME,"The largest source of international feature names available. GEONAME can replace over 200 printed US Government gazetteers - based on the database of the United States Board on Geographic Names. GEONAME is a powerful tool for geo-locating named features, defining correct names in the Romanized form of the local national language, and determining the correct name as cross-referenced from variants",,,"Restricted to U of T faculty, staff, and students.",GDE Systems Inc.,,1995,WORLD (INCLUSIVE),GAZETTEERS; GEOGRAPHICAL NAMES,,,,,,Vector,,,,,,,None,None,,
116,Canadian Monthly Climate Data and 1961-1990 Normals - copy 2,,See also CD # 091,,,Environment Canada,,,,,,,,,,,,,,,,,,,,
117,Winnipeg. Census Enumeration Areas. 1981.,"Assiniboine, Fort Garry, Birds Hill, Winnipeg North.",,,"Restricted to U of T faculty, staff, and students.",Statistics Canada,,,WINNIPEG,CENSUS,,,Statistics Canada,,,Vector,,,,,,Statistics Canada,None,None,,
118,York Region,,,,"Restricted to U of T faculty, staff, and students.",York Region Geomatics Division,,1990,TORONTO; YORK,AIR PHOTOS; AIRPORTS; BOUNDARIES - POLITICAL; EMERGENCY; HOSPITALS; POLICE; RAILROADS; ROADS; TRAILS; WATER,1990,,York Region Geomatics Division,York Region,2000,Vector,NAD83,,,,Lambert Conformal Conic 6 degrees and UTM Zone 17,York Region,Citation,None,,1990 to 2000
119,Soils - Southern Ontario,Contains data only for southern Ontario,,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Agriculture and Food (OMAFRA),,2004,ONTARIO,SOILS,,,,OMAFRA,,Vector,,2,,Guelph,,OMAFRA,Citation,None,,2004
120,Hydat - 2001,"Each year, Environment Canada produces a National HYDAT CD-ROM which provides rapid access to a stand alone version of the National Water Data Archive. This large database contains daily, monthly, and/or instantaneous information for streamflow, water level, suspended sediment concentration, sediment particle size, and sediment load data for over 2900 active stations and some 5100 discontinued sites across Canada.Please click here to view the Reference Index which lists all of the water stations and their operating program. Using a new Windows based software interface developed by Environment Canada, users have the power and flexibility to retrieve, view, subset, download, and print selected data from the CD-ROM. We also have a copy of the most recent HYDAT CD-ROM User's Manual online.Please note that amendments to the User's Manual are documented in the HYDAT MANUAL AMENDMENTS.The current version of HYDAT (version 2000-2.01) is available from Environment Canada's Water Survey of Canada offices (click here for a list of contacts). The HYDAT CD contains hydrometric data updated to the end of 2000 for most locations; however, data for all stations processed through the Province of Quebec is only current to the end of 1997. To view samples of HYDAT, choose one of the following: * daily streamflow data * sample discharge hydrograph produced from HYDAT daily flow data * mean monthly water level data * sediment summary data. For those with a high speed Internet connection a CD-ROM image (380MB ISO) of the HYDAT CD is available for download.",,,"Restricted to U of T faculty, staff, and students.",Earthinfo,,2001,CANADA (INCLUSIVE),SEDIMENT,,,,Earthinfo,,Data,,2001,,"Boulder, CO",,Earthinfo,Citation,None,,2001
121,Bathymetry of Lake Michigan,,,,,National Geophysical Data Center (NGDC),,,,,,,,,,,,,,,,,,,,
122,Bathymetry of Lake Erie and Lake Saint Clair,,,,,National Geophysical Data Center (NGDC),,,,,,,,,,,,,,,,,,,,
123,Bathymetry of Lake Ontario,"The new bathymetry of Lake Ontario bathymetry was a collaborative effort between scientists at the NOAA National Geophysical Data Center (NGDC), the NOAA Great Lakes Environmental Research Laboratory (GLERL), the Canadian Hydrographic Service, and the University of Colorado Cooperative Institute for Research in Environmental Sciences (CIRES).DEM file for download is a composite of all files on DVD.",Call number: G3312 .O5 C2 275 1999,,"Restricted to U of T faculty, staff, and students.",National Geophysical Data Center (NGDC),,,GREAT LAKES; ONTARIO; UNITED STATES (INCLUSIVE),BATHYMETRY,,,National Geophysical Data Center (NGDC),NOAA,,DEM,WGS84,G2,,,Geographic,NOAA Satellites and Information,None,None,,
124,Global GIS Database: Europe,"This CD-ROM contains a digital atlas of the countries of Europe. This atlas is part of a global database compiled from USGS and other data sources at a nominal scale of 1:1,000,000 and is intended as a regional-scale reference and analytical tool by educators, government officials, researchers, industry, and the general public",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey (USGS),,,EUROPE,AGRICULTURE; AIRPORTS; BOUNDARIES; BOUNDARIES - POLITICAL; CLIMATE; CONTOURS; DIGITAL ELEVATION MODEL; ELEVATION; ENVIRONMENT; FORESTRY; GAS; GEOLOGY; HYDROLOGY; LAND USE; OIL; PHYSIOGRAPHY; POPULATION; RAILROADS; ROADS; SATELLITE IMAGES; SEISMICITY; TOPOGRAPHY; UTILITIES; VEGETATION; VOLCANOES; WATER; WETLANDS,,,United States Geological Survey (USGS),USGS,,SHAPEFILE,,Digital Data Series DDS-62G,http://www.agiweb.org/pubs/pubdetail.html?item=624107,,,USGS,Citation,None,1:1000000,
125,Global GIS North America,"This CD-ROM contains a digital atlas of the countries of North America. This atlas is part of a global database compiled from USGS and other data sources at a nominal scale of 1:1,000,000 and is intended as a regional-scale reference and analytical tool by educators, government officials, researchers, industry, and the general public.",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey (USGS),,,NORTH AMERICA (ENTITY),AIRPORTS; BOUNDARIES; BOUNDARIES - POLITICAL; CLIMATE; CONTOURS; DIGITAL ELEVATION MODEL; ELEVATION; ENVIRONMENT; FORESTRY; GAS; GEOLOGY; HYDROLOGY; LAND USE; OIL; PHYSIOGRAPHY; POPULATION; RAILROADS; ROADS; SATELLITE IMAGES; SEISMICITY; TOPOGRAPHY; UTILITIES; VEGETATION; VOLCANOES; WATER,,,United States Geological Survey (USGS),USGS,,SHAPEFILE,,Digital Data Series DDS-62F,http://www.agiweb.org/pubs/pubdetail.html?item=624106,,,USGS,Citation,None,1:1000000,
126,Global GIS Database: North Eurasia,"This CD-ROM contains a digital atlas of the countries of North Eurasia. This atlas is part of a global database compiled from USGS and other data sources at a nominal scale of 1:1,000,000 and is intended as a regional-scale reference and analytical tool by educators, government officials, researchers, industry, and the general public.",,,"Restricted to U of T faculty, staff, and students.",United States Geological Survey (USGS),,,ASIA; EUROPE; NORTH EURASIA,AGRICULTURE; BOUNDARIES; BOUNDARIES - POLITICAL; CONTOURS; DIGITAL ELEVATION MODEL; DRAINAGE; ELEVATION; ENVIRONMENT; GAS; GEOLOGY; HYDROLOGY; LAND USE; PHYSIOGRAPHY; POPULATION; RAILROADS; SATELLITE IMAGES; SEISMICITY; TOPOGRAPHY; UTILITIES; VEGETATION; VOLCANOES,,,United States Geological Survey (USGS),,,SHAPEFILE,,Digital Data Series DDS-62E,http://www.agiweb.org/pubs/pubdetail.html?item=624105,,,USGS,Citation,None,1:1000000,
127,Softmap Quebec topo20,,,,"Restricted to U of T faculty, staff, and students.",Softmap and Province du Québec,,2002,QUEBEC,TOPOGRAPHY,,,,Softmap,,Vector,,,,,,Softmap &amp; Province du Québec,None,None,,2002
128,Multimedia Cartography,"The development of interactive multimedia products on CD ROM and the Internet, via the WWW, has generated interest in the field of multimedia cartography. There has been an upsurge of interest in developing methodologies that best exploit both the technology and communication effectiveness of multimedia mapping. This book is addressed to professional cartographers interested in moving into multimedia mapping, for cartographers already involved in this field who wish to discover the approaches that other practitioners in multimedia cartography have already taken and for students and academics in the mapping sciences and related geographic fields wishing to update their knowledge of cartographic design and production. System requirement are: standard PC 486; any 486 DX-based computer at 66 mhz or faster; any Pentium-based computer; 16MB RAM; Windpws 95; sound card. Download sites for all necessary plug-ins are given in the book.",,,"Restricted to U of T faculty, staff, and students.","Cartwright, W; M. Peterson, G. Gartner",,1999,,MULTIMEDIA CARTOGRAPHY,,,,Springer-Verlag,,Vector,,,,Berlin/Heidelberg,,,None,None,,1999
129,Nicaragua An Historical Atlas,The CD-ROM contains 2 interactive versions.,,,"Restricted to U of T faculty, staff, and students.",Coleccion Cultural de Centro America,,2003,NICARAGUA,CULTURAL; GEOGRAPHICAL NAMES; HISTORICAL; HYDROLOGY; LAND USE; MAPS; METADATA; PLACENAMES; POLITICAL; ROADS; THEMATIC MAPPING; VEGETATION; WATER,,,,Coleccion Cultural de Centro America,,Vector,,2003,,,,,Citation,None,,2003
130,Inside ArcView GIS 8.3,"Inside ArcView GIS 8.3 functions as a detailed description of the software's functionality plus a comprehensive, self-paced tutorial. An essential how-to manual for the novice and indispensable desk-side reference for the experienced user, this edition begins by establishing the conceptual foundation necessary to use all GIS applications efficiently and effectively. Following a whirlwind tour of functionality and an orientation to the ArcView GIS 8.3 user interface, readers proceed directly to hands-on exercises that build in complexity yet employ the same real-world GIS data set (included with the book and readily available for download over the Internet). Initial chapters focus attention on mastering the basics of using ArcView GIS 8.3 out-of-the-box for querying, thematic classification, and map composition. With these skills, subsequent chapters lead readers to more advanced expertise, such as: editing data, extending data using relational databases, performing spatial analysis",,,"Restricted to U of T faculty, staff, and students.","Hutchinson, Scott",,1999,,GEOGRAPHIC INFORMATION SYSTEMS; METADATA,,,,Environmental Systems Research,,Raster; Vector,,,,,,,Citation,None,,1999 to 2003
131,Comunidad Valenciana,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106332416206196,,Ariel,,,,,,,,,,,,,,,,,,,,
132,Inside MapInfo Professional,"Fully updated to the software's latest features and functions, Inside MapInfo Professional, 3E continues to set the standard for desktop mapping tutorials. Early in the book, the authors cover the essential MapInfo Professional functions through development of a single application from start to finish. Following this orientation, subsequent chapters enable readers to hone in on specific MapInfo Professional components and procedures.Step-by-step examples, case studies, notes, and tips are also located strategically throughout Inside MapInfo Professional, 3E to assist readers in their quest to make optimal use of one of today's most popular desktop mapping applications. As such, the book is not a rehash of the documentation manual. Rather, it contains the knowledge gained from time spent on the front lines of public and private sector organizations assisting individual departments, corporations, and government agencies. The accompanying CD [132] is shelved in Map Library workroom.",,,"Restricted to U of T faculty, staff, and students.","Daniel, L, P. Loree, A. Whitener",,2002,,GEOGRAPHIC INFORMATION SYSTEMS; METADATA,,,,,,Raster; Vector,,3rd edition,,,,Delmar Thomson Learning,Citation,None,,2002
