Area,Date,Revision,Location,NMC,Description,Format,Type,Sheets,Notes
Thunder Bay,1961,,MDL B2,,COLOUR,paper,plans,Jan-87,Vol. 1 (complete set)
Thunder Bay,1961,,MDL B2,,COLOUR,paper,plans,Jan-78,Vol. 2 (complete set)
Thunder Bay,1970,,MDL B2,,BW,paper,index,,streets and blocks
Tignish,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Tilbury,1921,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Tilbury,1921,,MDL B2,,COLOUR,paper,plans (large),3-Jan,complete set
Tilbury,1954,,MDL B2,,BW,paper,index,,streets
TILBURY,1890,1906,MDL G 3401 G475 1878-,9731,BW,microfiche,,,
Tillsonburg,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,30,
Timmins,1955,,MDL B2,,COLOUR,paper,plans,Jan-38,complete set
TIVERTON,1894,,MDL G 3401 G475 1878-,9735,BW,microfiche,,,
TIVERTON,1894,1904,MDL G 3401 G475 1878-,9736,BW,microfiche,,,
TOLEDO,1897,,MDL G 3401 G475 1878-,9737,BW,microfiche,,,
Toronto,1889,,CIHM mfe 25002-4 (Midea Commons),,BW,microfiche,Plans,,3 parts
Toronto,1889,,Map and Data Library,,COLOUR,Digital,Plans,,Vol 1
Toronto,1892,,Map and Data Library,,COLOUR,Digital,Plans,,Vol 1
Toronto,1909,1915,Map and Data Library,,BW,Digital; DVD-[238],Plans,,Vol 1
Toronto,1918,,Map and Data Library,,BW,Digital,Plans,,Vol 1
Toronto,1932,,MDL B2,,COLOUR,paper,slips,,from Vol 1 B
Toronto,1910,1914,Map and Data Library,,BW,Digital; DVD-[238],Plans,,Vol 2
Toronto,1931,,MDL B2,,COLOUR,paper,slips,,(provincial parliament) from Vol 2
Toronto,1933,,MDL B2,,COLOUR,paper,slips,Trans. 2,Vol 2
Toronto,1911,1914,Map and Data Library,,BW,Digital; DVD-[238],Plans,,Vol 3
Toronto,1910,1914,Map and Data Library,,BW,Digital; DVD-[239],Plans,,Vol 4
Toronto,1926,,MDL B2,,COLOUR,paper,slips,"Trans. 1, 16, 27, 30, 32",from Vol 4
Toronto,1890,1904,Map and Data Library,,BW,Digital,Plans,,Vol 5
Toronto,1907,1914,Map and Data Library,,BW,Digital; DVD-[239],Plans,,Vol 5
Toronto,1913,1916,Map and Data Library,,BW,Digital; DVD-[239],Plans,,Vol 6
Toronto,1934,,MDL B2,,COLOUR,paper,slips,"Trans. 1-25, 28",from Vol 6
Toronto,1912,1915,Map and Data Library,,BW,Digital; DVD-[239],Plans,,Vol 7
Toronto,1916,,Map and Data Library,21101,BW,Digital,Plans,,Vol 7
Toronto,1922,,Map and Data Library,,BW,Digital,Plans,,Vol 7
Toronto,1951,,MDL B2,,COLOUR,paper,slips,,(Mount Pleasant) from Vol 7
Toronto,1916,,Map and Data Library,9942,COLOUR,Digital; DVD-[239],Plans,,Vol 8
Toronto,1928,1934,MDL B2,,COLOUR,paper,slips,"Trans. 18, 19, 22",from Vol 8 (includes index)
Toronto,1932,,MDL B2,,COLOUR,paper,slips,,from Vol 8
Toronto,1936,,MDL B2,,COLOUR,paper,slips,Trans. 1,from Vol 8
Toronto,1950,,MDL B2,,COLOUR,paper,slips,Trans. 1,from Vol 8
Toronto,1897,1916,Map and Data Library,,BW,Digital; DVD-[239],Plans,,Vol 9
Toronto,1903,,Map and Data Library,,BW,Digital,Plans,,Vol 12 (Junction)
Toronto,1906,,Map and Data Library,,BW,Digital,Plans,,Vol 12 (Junction)
Toronto,1909,,Map and Data Library,,BW,Digital,Plans,,Vol 12 (Junction)
Toronto,1903,1914,Map and Data Library,,COLOUR,Digital; DVD-[239],Plans,,Vol 12 (Junction)
Toronto,1912,1918,Map and Data Library,,BW,Digital,Plans,,Vol 12 (Junction)
Toronto,1918,,Map and Data Library,,BW,Digital; DVD-[294],Plans,,Vol 12 (Junction)
Toronto,1921,1943,Map and Data Library,,COLOUR,Digital; DVD-[233-234],Plans,,Vol. 1
Toronto,1952,1973,Map and Data Library,,COLOUR,Digital; DVD-[244-247]; DVD-[260],Plans,,Vol. 1
Toronto,1954,1964,MDL B2,,COLOUR,paper,plans,"1-8, 17-18, 20-26, 31-60, 63-74, 76-79",Vol. 1 (incomplete)
Toronto,1969,,MDL B2,,COLOUR,paper,plans,400-445,Vol. 4 (complete)
Toronto,1965,,MDL B2,,COLOUR,paper,plans,501-560,Vol. 5 (incomplete)
Toronto,1965,,MDL B2,,COLOUR,paper,plans,600-644,Vol. 6 (complete)
Toronto,1957,,MDL B2,,COLOUR,paper,plans,"701-708, 711-769",Vol. 7.1 (incomplete)
Toronto,1958,,MDL B2,,COLOUR,paper,plans,775-798,Vol. 7.2 (incomplete)
Toronto,1956,,MDL B2,,COLOUR,paper,plans,900-947,Vol. 9.1 (complete)
Toronto,1956,,MDL B2,,COLOUR,paper,plans,948-978,Vol. 9.2 (complete)
Toronto,1956,,MDL B2,,COLOUR,paper,plans,979-999,Vol. 9.3 (complete but missing title page)
Toronto,1959,,MDL B2,,COLOUR,paper,plans,1000-1056,Vol. 10 (complete)
Toronto,1959,,MDL B2,,COLOUR,paper,plans,1100-1191,Vol. 11 (complete)
Toronto,1962,,MDL B2,,COLOUR,paper,plans,1300-1364,Vol. 13 (complete)
Toronto,1952,1962,MDL B2,,COLOUR,paper,plans,1400-1461,Vol. 14 (complete)
Toronto,1954,,MDL B2,,COLOUR,paper,plans,"1500-1530, 1533-1534, 1541-1545, 1547-1577",Vol. 15 (incomplete)
Toronto,1953,,MDL B2,,COLOUR,paper,plans,"1600-1619, 1622-1624, 1651-1660, 1667-1676, 1678-1680, 1683-1684",Vol. 16 (incomplete)
Toronto,1955,1961,MDL B2,,COLOUR,paper,plans,94/124 sheets,Vol. 17 (incomplete)
Toronto,1955,1961,MDL B2,,COLOUR,paper,plans,1700-1799,Vol. 17 - 1961 update only (complete)
Toronto,1964,,MDL B2,,COLOUR,paper,plans,1800-1880,Vol. 18 (complete)
Toronto,1952,,MDL B2,,COLOUR,paper,plans,"1900-1922, 1925-1944",Vol. 19 (incomplete)
Toronto,1955,1961,MDL B2,,COLOUR,paper,plans,2039-2050,Vol. 20 - 1961 update only (complete) 
Toronto,1969,,MDL B2,,COLOUR,paper,plans,2100-2170,Vol. 21 (incomplete)
Toronto,1973,,MDL B2,,COLOUR,paper,plans,2217-2229, Vol. 22 (incomplete)
Toronto,1962,,MDL B2,,BW,paper,index,,blocks and streets
Toronto,1955,,MDL B2,,BW,paper,index,,streets and blocks Vol. 1-21
Toronto,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,99,Vol.1
Toronto,1930,1935,Map and Data Library,,BW,Digital; DVD-[294],Plans,,Vol. 2
Toronto,1930,1945,Fisher Rare Book Library,,COLOUR,paper,plans,,Vol.2
Toronto,1931,1951,Map and Data Library,,BW,Digital; DVD-[294],Plans,,Vol. 3
Toronto,1931,1951,Fisher Rare Book Library,,COLOUR,paper,plans,,Vol.3
Toronto,1969,,Fisher Rare Book Library,,COLOUR,paper,plans,47,Vol.4
Toronto,1926,1941,Map and Data Library,,BW,Digital; DVD-[294],Plans,,Vol. 4
Toronto,1926,1941,Fisher Rare Book Library,,COLOUR,paper,plans,,Vol.4 41 sh.
Toronto,1921,1943,Map and Data Library,,BW,Digital; DVD-[294],Plans,,Vol. 5
Toronto,1965,,Fisher Rare Book Library,,COLOUR,paper,plans,58,Vol.5
Toronto,1957-59,1965,Fisher Rare Book Library,,COLOUR,paper,plans,43,Vol.6
Toronto,1916,1934,Map and Data Library,,BW,Digital; DVD-[290],Plans,,Vol. 7
Toronto,1957-59,1961,Fisher Rare Book Library,,COLOUR,paper,plans,203,Vol.7
Toronto,1916,1944,Map and Data Library,,BW,Digital; DVD-[290],Plans,,Vol. 8
Toronto,1928,1944,Fisher Rare Book Library,,COLOUR,paper,plans,,Vol.8
Toronto,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,222,Vol.9
Toronto,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,45,Vol.10
Toronto,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,78,Vol.11
Toronto,1964,,Fisher Rare Book Library,,COLOUR,paper,plans,65,Vol.12
Toronto,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,65,Vol.13
Toronto,1952,1962,Fisher Rare Book Library,,COLOUR,paper,plans,74,Vol.14
Toronto,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,92,Vol.15
Toronto,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,49,Vol.16
Toronto,1955,1961,Fisher Rare Book Library,,COLOUR,paper,plans,124,Vol.17
Toronto,1964,,Fisher Rare Book Library,,COLOUR,paper,plans,85,Vol.18
Toronto,1952,,Fisher Rare Book Library,,COLOUR,paper,plans,48,Vol.19
Toronto,1955,1961,Fisher Rare Book Library,,COLOUR,paper,plans,55,Vol.20
Toronto,1969,,Fisher Rare Book Library,,COLOUR,paper,atlas,64,Vol.21
Toronto,1973,,Fisher Rare Book Library,,COLOUR,paper,plans,31,Vol.22 wanting
Toronto,1910,,FO-1/27 v.1 only RBSC: G1149 T7 G6 1910 ARCH,,Colour,,atlas,,
Toronto,1890,1903,MDL G 1149 T7G6 1903a MAPL Fo,,BW,,atlas,,
Toronto,1912,1913,MDL G 1149 T7G6 1912-13,,BW,microfiche,atlas,,
Toronto,1880,1890,MDL G 1149 T7G6 1984 MAPL,,BW/Colour,paper,atlas,,
Toronto,1880,,Map and Data Library,,Colour,Digital,atlas,,Atlas Index
Toronto,1884,,MDL G 3401 G475 1878-,,Colour,Digital; CD-ROM[043]; DVD-[100],atlas,,Atlas Index
Toronto,1890,,MDL G 3401 G475 1878-,,Colour,Digital; CD-ROM[044]; DVD-[100],atlas,,
Toronto,1892,,MDL G 3401 G475 1878-,,Colour,Digital; CD-ROM[045],atlas,,
Toronto,1893,,MDL G 3401 G475 1878-,,Colour,Digital; CD-ROM[046],atlas,,Atlas Index
Toronto,1899,,MDL G 3401 G475 1878-,,Colour,Digital; CD-ROM[047]; DVD-[100],atlas,,Atlas Index
Toronto,1902,,Map and Data Library,,BW,Digital,atlas,,Atlas Index
Toronto,1910,,MDL G 3401 G475 1878-,,Colour,Digital; CD-ROM[048]; DVD-[100],atlas,,Atlas Index
Toronto,1910,1923,MDL G 1149 T7G6 1923 MAPL Fo,,Colour,Digital,atlas,,Atlas Index
TORONTO,1880,1884,MDL G 3524 T6 G475 1880-1924,,BW,microfilm,Plans and atlases,,
Toronto,1941-1960,,MDL G 3524 T6 G475/?U5/Maps/ins RBSC,,Colour,,Plans,,
TORONTO,1940,,MDL G 3524 T61 G475 (6) -1 1904-52,9943,BW,microfiche,,,
TORONTO,1940,,MDL G 3524 T61 G475 (6) -1 1904-52,9946,BW,microfiche,,,
TORONTO,1909,,MDL G 3524 T61 G475 (6) -1 1904-52,31775,BW,microfiche,,,
TORONTO,1915[1916],,MDL G 3524 T61 G475 (6) -1 1904-52,21101,BW,microfiche,,,
TORONTO,1916,,MDL G 3524 T61 G475 (6) -1 1904-52,45575,BW,microfiche,,,
TORONTO,1928,,MDL G 3524 T61 G475 (6) -1 1904-52,31779,BW,microfiche,,Vol.7,
TORONTO,1940,1944,MDL G 3524 T61 G475 (6) -1 1904-52,9942,BW,microfiche,,Vol.8,
TORONTO,1940,,MDL G 3524 T61 G475 (6)-1 1904-52,9944,BW,microfiche,,,
TORONTO,1907,1934,MDL G 3524 T61G475 (6) -1 1904-52,13992,BW,microfiche,,,
TORONTO,1909,1918,MDL G 3524 T61G475 (6)-1 1904-1952,13996,BW,microfiche,,,
TORONTO,1926,1933,MDL G 3524 T61G475 (6)-1 1904-1952,14000,BW,microfiche,,,
TORONTO,1924,1934,MDL G 3524 T61G475 (6)-1 1904-52,13994,BW,microfiche,,,
TORONTO,1928,1934,MDL G 3524 T61G475 (6)-1 1904-52,13993,BW,microfiche,,,
TORONTO,1929,1934,MDL G 3524 T61G475 (6)-1 1904-52,13991,BW,microfiche,,,
TORONTO,1931,1935,MDL G 3524 T61G475 (6)-1 1904-52,13999,BW,microfiche,,,
Toronto,1952-1973,,MDL G 3524 T6G475/1/1952-1973 behind reference desk,,Colour,paper,plans,,
Toronto,1914 ? 1918,,MDL G G636 1914,,BW,microfiche,plans,,
TORONTO,1904,,MDL G 3524 T61 G475 (6) -1 1904-52,52973,BW,microfiche,,,
TORONTO JUNCTION,1903?,1930?,MDL G 3524 T61 G475 (6)-1 1904-52,32968,BW,microfiche,,Vol 12-13,
TORONTO JUNCTION,1930,1912,MDL G 3524 T61G475 (60-1 1904-52,13995,BW,microfiche,,,
Tottenham,1928,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
TOTTENHAM,1890,,MDL G 3401 G475 1878-,9738,BW,microfiche,,,
TOTTENHAM,1923,,MDL G 3401 G475 1878-,9739,BW,microfiche,,,
Tracadie,1963,,Fisher Rare Book Library,,COLOUR,paper,plans,6,
Tracadie,1963,,MDL B2,,COLOUR,paper,plans,5-Jan,complete set
Tracy,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,26,
Tracy,1957,,MDL B2,,COLOUR,paper,plans,23-Jan,complete set
Trail,1953,1959,Fisher Rare Book Library,,COLOUR,paper,plans,26,
Trail,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,26,
Trail,1959,,MDL B2,,COLOUR,paper,plans,"1-12,15,18-19, 24, 26-27",Incomplete set
Transcona,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,19,
Trenton,1949,,Fisher Rare Book Library,,COLOUR,paper,plans,27,
Trenton,1949,,MDL B2,,COLOUR,paper,plans (large),"11, 5, 10, 11, 14-19",incomplete set
Trenton,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,12,
"Trenton, NS",1962,,MDL B2,,COLOUR,paper,plans,9-Jan,complete set
"Tenton, ON",1959,,MDL B2,,BW,paper,index,,streets
Trois Pistoles,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,14,
Trois Pistoles,1954,,MDL B2,,COLOUR,paper,plans,12-Jan,complete set
Trois Rivieres,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,73,
Trois Rivieres,1955,,MDL B2,,COLOUR,paper,plans,Jan-65,complete set
TROIS RIVIERES,1879,,MDL G 3401 G475 1878-,16303,BW,microfiche,,,
Truro,1955,1966,Fisher Rare Book Library,,COLOUR,paper,plans,40,
Truro,1955,1966,MDL B2,,COLOUR,paper,plans,Jan-37,complete set
TWEED,1932,,MDL G 3401 G475 1878-,9741,BW,microfiche,,,
Tweed,1932,,MDL B2,,COLOUR,paper,plans (large),6-Jan,complete set
UNIONVILLE,1891,,MDL G 3401 G475 1878-,9742,BW,microfiche,,,
Uxbridge,1910,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
UXBRIDGE,1910,,MDL G 3401 G475 1878-,9743,BW,microfiche,,,
UXBRIDGE,1910,1927,MDL G 3401 G475 1878-,9744,BW,microfiche,,,
Uxbridge,1927,,MDL B2,,COLOUR,paper,slips,Trans. 1-4,
UXBRIDGE,1890,,MDL G 3401 G475 1878-,13978,BW,microfiche,,,
Val d'or,1952,,Fisher Rare Book Library,,COLOUR,paper,plans,24,
Val D'or,1952,,MDL B2,,COLOUR,paper,plans,21-Jan,complete set
Valleyfield Salaberry de Valleyfield,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,41,
Vancouver,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,27,Vol.A
Vancouver,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,81,Vol.1
Vancouver,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,,Vol.1
Vancouver,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,88,Vol.2
Vancouver,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,90,Vol.3
Vancouver,1958,,Fisher Rare Book Library,,COLOUR,paper,plans,22,Vol.4
Vancouver,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,22,Vol.5
Vancouver,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,17,Vol.6
Vancouver,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,26,Vol.7
Vancouver,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,27,Vol.8
Vancouver,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,14,Vol.10
Vancouver,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,25,Vol.11
Vancouver,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,9,Vol.12
Vancouver,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,14,Vol.13
Vancouver,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,10,Vol.14
Vancouver,1956,,MDL B2,,COLOUR,paper,plans,301-385,Vol. 3 - Incomplete set (missing sheets 386-390)
Vancouver,1961,,MDL B2,,COLOUR,paper,index,,index only
VANCOUVER,1904,,MDL G 3401 G475 1878-,10676,BW,microfiche,,,
VANCOUVER,1912,,MDL G 3401 G475 1878-,10484,BW,microfiche,,,
VANCOUVER,1913,,MDL G 3401 G475 1878-,14015,BW,microfiche,,,
VANCOUVER,1913,,MDL G 3401 G475 1878-,14016,BW,microfiche,,,
VANCOUVER,1914,,MDL G 3401 G475 1878-,10483,BW,microfiche,,,
VANCOUVER,1914,,MDL G 3401 G475 1878-,32975,BW,microfiche,,,
VANCOUVER,1927,,MDL G 3401 G475 1878-,10516,BW,microfiche,,,
VANCOUVER,1927,,MDL G 3401 G475 1878-,10513,BW,microfiche,,,
VANCOUVER,1930,,MDL G 3401 G475 1878-,10519,BW,microfiche,,,
VANCOUVER,1897,1901,MDL G 3401 G475 1878-,11188,BW,microfiche,,,
VANCOUVER,1927,1940,MDL G 3401 G475 1878-,10512,BW,microfiche,,,
VANCOUVER,1927,1950,MDL G 3401 G475 1878-,10515,BW,microfiche,,,
VANCOUVER,1927,1950,MDL G 3401 G475 1878-,10514,BW,microfiche,,,
VANCOUVER,1930,1950,MDL G 3401 G475 1878-,10520,BW,microfiche,,,
VANCOUVER,1930,1950,MDL G 3401 G475 1878-,10517,BW,microfiche,,,
VANCOUVER,1930,1951,MDL G 3401 G475 1878-,10518,BW,microfiche,,,
Vanderhoof,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,5,
Vankleek Hill,1900,,Fisher Rare Book Library,,COLOUR,paper,plans,6,
Vankleek Hill,1908,,MDL B2,,COLOUR,paper,slips,Trans. 16,
Vankleek Hill,1912,,MDL B2,,COLOUR,paper,slips,,
VANKLEEK HILL,1936,,MDL G 3401 G475 1878-,13979,BW,microfiche,,,
VANKLEEK HILL,1900,1912,MDL G 3401 G475 1878-,9746,BW,microfiche,,,
Varennes,1894,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Vaudreuil,1913,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Vaudreuil,1923,,MDL B2,,COLOUR,paper,slips,"Trans. 23, 24",
Vegreville,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,13,
Vegreville,1960,,MDL B2,,COLOUR,paper,plans,13,
Vercheres,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,10,
Vercheres,1959,,MDL B2,,COLOUR,paper,plans,8-Jan,complete set
Verdun,1950,,MDL B2,,COLOUR,paper,slips,Trans. 39,
Verdun,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,61,
Vernon,1955,1970,Fisher Rare Book Library,,COLOUR,paper,plans,18,
Victoria,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Victoria,1957,1967,Fisher Rare Book Library,,COLOUR,paper,plans,77,Vol.1
Victoria,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,26,Vol.2
Victoria,1967,,MDL B2,,COLOUR,paper,index,,index only
VICTORIA,1907,,MDL G 3401 G475 1878-,10486,BW,microfiche,,,
VICTORIA,1925,1939,MDL G 3401 G475 1878-,10525,BW,microfiche,,,
VICTORIA,1925,1940,MDL G 3401 G475 1878-,10532,BW,microfiche,,,
VICTORIA,1925,1950,MDL G 3401 G475 1878-,10487,BW,microfiche,,,
VICTORIA,1931,1950,MDL G 3401 G475 1878-,10485,BW,microfiche,,,
Victoria Harbour,1890,1913,Fisher Rare Book Library,,COLOUR,paper,plans,2,1 sh.
VICTORIA HARBOUR,1890,1900,MDL G 3401 G475 1878-,16289,BW,microfiche,,,
VICTORIA HARBOUR,1890,1904,MDL G 3401 G475 1878-,16290,BW,microfiche,,,
Victoria Harbour,1913,,MDL B2,,COLOUR,paper,plans (large),2,incomplete set
Victoria Road,1898,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Victoriaville,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,48,
Victoriaville,1962,,MDL B2,,COLOUR,paper,plans,Jan-41,complete set
Vienna,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Virden,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,11,
Virden,1962,,MDL B2,,COLOUR,paper,plans,8-Jan,complete set
Vittoria,1899,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Wabana,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,26,
Wabana,1954,,MDL B2,,COLOUR,paper,plans,23-Jan,
Wainwright,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,12,
Wainwright,1960,,MDL B2,,COLOUR,paper,plans,12,
Wales,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
WALKERTON,1928,,MDL G 3401 G475 1878-,9753,BW,microfiche,,,
Wallaceburg,1926,1936,MDL B2,,COLOUR,paper,plans (large),15-Jan,complete set
Wallaceburg,1926,1936,Fisher Rare Book Library,,COLOUR,paper,plans,15,
WARDSVILLE,1880,,MDL G 3401 G475 1878-,9755,BW,microfiche,,,
WARDSVILLE,1880,1906,MDL G 3401 G475 1878-,32976,BW,microfiche,,,
WARKWORTH,1890,,MDL G 3401 G475 1878-,9756,BW,microfiche,,,
WARKWORTH,1890,1900,MDL G 3401 G475 1878-,9757,BW,microfiche,,,
WARKWORTH,1890,1904,MDL G 3401 G475 1878-,13980,BW,microfiche,,,
Warwick,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
WASAGA BEACH,1936,,MDL G 3401 G475 1878-,9758,BW,microfiche,,,
WATERDOWN,1939,,MDL G 3401 G475 1878-,9759,BW,microfiche,,,
WATERDOWN,1885,1909,MDL G 3401 G475 1878-,13981,BW,microfiche,,,
Waterford,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Waterloo,1920,1946,Fisher Rare Book Library,,COLOUR,paper,plans,19,
Waterloo,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,20,
WATERLOO,1920,1946,MDL G 3401 G475 1878-,9761,BW,microfiche,,,
Watford,1925,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
WAUBASHENE,1890,,MDL G 3401 G475 1878-,9763,BW,microfiche,,,
WAUBASHENE,1890,1904,MDL G 3401 G475 1878-,9764,BW,microfiche,,,
Webbwood,1922,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Welland,1965,,Fisher Rare Book Library,,COLOUR,paper,plans,68,
Welland,1965,,MDL B2,,COLOUR,paper,plans,Jan-68,complete set
WELLAND,1916,,MDL G 3401 G475 1878-,9766,BW,microfiche,,,
WELLAND,1924,,MDL G 3401 G475 1878-,10591,BW,microfiche,,,
Welland,1924,1936,MDL B2,,COLOUR,paper,slips,Trans. 1-2,includes index
Welland,1935,,MDL B2,,COLOUR,paper,slips,,
WELLAND,1936,,MDL G 3401 G475 1878-,10592,BW,microfiche,,,
WELLAND,1948,,MDL G 3401 G475 1878-,10593,BW,microfiche,,,
Welland,1948,,MDL B2,,COLOUR,paper,slips,Trans. 1-3,
WELLAND,1909,1935,MDL G 3401 G475 1878-,13983,BW,microfiche,,,
WELLAND,1909,1948,MDL G 3401 G475 1878-,32980,BW,microfiche,,,
WELLESLEY,1894,1904,MDL G 3401 G475 1878,9768,BW,microfiche,,,
WELLESLEY,1894,,MDL G 3401 G475 1878-,9767,BW,microfiche,,,
WELLINGTON,1892,,MDL G 3401 G475 1878-,9769,BW,microfiche,,,
WELLINGTON,1892,1900,MDL G 3401 G475 1878-,9770,BW,microfiche,,,
West Kildonan,1961,,Fisher Rare Book Library,,COLOUR,paper,plans,22,
West Kildonan,1961,,MDL B2,,COLOUR,paper,plans,16-Jan,complete set
WEST LORNE,1906,,MDL G 3401 G475 1878-,9771,BW,microfiche,,,
WEST LORNE,1940,,MDL G 3401 G475 1878-,9772,BW,microfiche,,,
West Shefford,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
West Vancouver,1966,,Fisher Rare Book Library,,COLOUR,paper,plans,25,
West Vancouver,1966,,MDL B2,,COLOUR,paper,plans,21-Jan,
Westmeath,1908,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Westemeath,1908,,MDL B2,,COLOUR,paper,plans (large),2-Jan,
WESTON,1910,1919,MDL G 3401 G475 1878-,13989,BW,microfiche; Digital; DVD-[238],plans,11,
Westport,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
WESTPORT,1897,1908,MDL G 3401 G475 1878-,9775,BW,microfiche,,,
Westville,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,9,
Westville,1962,,MDL B2,,COLOUR,paper,plans,7-Jan,complete set
Wetaskiwin,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,10,
Weyburn,1957,1966,Fisher Rare Book Library,,COLOUR,paper,plans,15,
Weymouth,1927,1944,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Wheatley,1931,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Wheatley,1931,,MDL B2,,COLOUR,paper,plans (large),4-Jan,complete set
WHITBY,1911,,MDL G 3401 G475 1878-,9777,BW,microfiche,,,
WHITBY,1923,,MDL G 3401 G475 1878-,10677,BW,microfiche,,,
WHITBY,1911,1923,MDL G 3401 G475 1878-,9778,BW,microfiche,,,
WHITBY,1911,1934,MDL G 3401 G475 1878-,9779,BW,microfiche,,,
Whitby,1934,,MDL B2,,COLOUR,paper,slips,"Trans. 2, 5",
White Rock,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,18,
White Rock,1959,,MDL B2,,COLOUR,paper,plans,16-Jan,
Whitehorse,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,8,
WHITNEY,1896,,MDL G 3401 G475 1878-,10563,BW,microfiche,,,
Wiarton,1923,,MDL B2,,COLOUR,paper,addendums,,attached to Leamington plans (large)
WIARTON,1890,1899,MDL G 3401 G475 1878-,13984,BW,microfiche,,,
Williams Lake,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
WILLIAMSBURG,1936,,MDL G 3401 G475 1878,13987,BW,microfiche,,,
WILLIAMSTOWN,1897,,MDL G 3401 G475 1878-,9781,BW,microfiche,,,
WINCHESTER,1900,1905,MDL G 3401 G475 1878-,32981,BW,microfiche,,,
WINCHESTER,1900,1908,MDL G 3401 G475 1878-,10710,BW,microfiche,,,
WINCHESTER,1900,1905,MDL G 3401 G475 1878-,13988,BW,microfiche,,,
Winchester,1905,,MDL B2,,COLOUR,paper,slips,,
WINCHESTER,1908,,MDL G 3401 G475 1878-,98386,BW,microfiche,,,
Windsor,1920,1937,MDL B2,,BW,paper,plans (large),75,"Vol. 1. Printed on back of Woodstock, NB plans (large)"
Windsor,1952,,Fisher Rare Book Library,,COLOUR,paper,plans,82,Vol.1
Windsor,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,86,Vol.2
Windsor,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,49,Vol.3
Windsor,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,52,Vol.4
Windsor,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,15,Vol.5
Windsor,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,20,
